track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_album_release_year,track_album_release_decade
77j9HOrxUpWcjwra9jgvio,We like to Party! (Six Flags),Vengaboys,51,0R44mmTKUE1XCuGVVrPfTZ,We like to Party! (The Vengabus),1998,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.785,0.905,8,-7.929,1,0.0449,0.00803,0.859,0.046,0.969,136.018,224227,1998,90s
6rQ9qJPvInEqSzlh89LsPJ,Coco Jamboo - Radio Version,Mr. President,18,2t8Bc4qBseswbwOoHGHK8d,We See The Same Sun,1996,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.832,0.838,1,-5.414,0,0.0421,0.0791,0.0,0.152,0.965,100.019,218733,1996,90s
5FgtdSf7I5lClThz2ptWvl,Blue (Da Ba Dee),Eiffel 65,16,65DySolRDG1LNSvRXcWQWN,Europop,1999,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.822,0.969,7,-11.471,0,0.0582,0.259,0.000162,0.39,0.765,128.007,283748,1999,2000s
2ahnofp2LbBWDXcJbMaSTu,What Is Love,Haddaway,70,0qTVjeVP70YvQG4GctetOf,What is Love - Remix,1993,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.683,0.772,7,-7.907,0,0.0311,0.0222,0.0149,0.203,0.737,123.871,270373,1993,90s
0wP3e5PzSxafy2TRtlayq9,Scatman (ski-ba-bop-ba-dop-bop),Scatman John,10,0lZJ8KTq6WzIrOM1KWWCxe,Scatman's World,1995-06-01,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.65,0.82,5,-10.9,0,0.0356,0.0655,0.00274,0.215,0.757,135.982,215973,1995,90s
7cG3wfohoNDSp2M8FWrgTg,Bailando - Video Edit,Paradisio,59,3iJwt0Sq44ZBzR7kNCxf0y,Bailando,1996,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.649,0.955,8,-7.817,0,0.0388,0.0941,0.00899,0.108,0.83,132.993,229627,1996,90s
3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,Britney Spears,75,3WNxdumkSMGMJRhEgK80qx,...Baby One More Time (Digital Deluxe Version),1999-01-12,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,211067,1999,2000s
5dle7lDSqNS2AcFtbvgkud,Rhythm Is A Dancer - 12'' Version,SNAP!,12,5NZ0wQA1HzBSDSyOWEU96k,Rhythm Is A Dancer Volume 08,1991,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.768,0.874,9,-7.303,0,0.034,0.117,0.0628,0.0842,0.839,124.251,316133,1991,90s
12BbMJsJi65mxneq6c9Lm7,All That She Wants - Remastered,Ace of Base,16,6cpOIdpPfGaazHsh5eYz0k,Happy Nation (Remastered),1994-01-01,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.707,0.628,11,-9.684,1,0.0877,0.00526,8.21e-05,0.104,0.87,187.548,211213,1994,90s
2goLsvvODILDzeeiT4dAoR,Believe,Cher,76,0jZfbz0dNfDjPSg0hYJNth,Believe,1998,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.652,0.917,6,-6.72,1,0.0548,0.0082,0.0,0.0509,0.459,132.975,239027,1998,90s
